Rep,Treat,SPP,Clone,Row,Col,ID #,1997_Height,1997_Diam,1998_Height,1998_Diam,1999_Height,1999_Diam,2000_Height,2000_Diam,2001_Height,2001_Diam@3cm,2001_Diam@10cm,2002_Height,2002_Diam,2003_Height,2003_Diam@10cm,2003_DBH,2004_Height,2004_Diam@10cm,2004_DBH,2005_Height,2005_Diam@10cm,2005_DBH,2006_Height,2006_DBH,2007_Height,2007_DBH,2008_Height,2008_DBH,Notes,Comment1,Comment2,Comment3
1,2,B,B,L,12,4668,47.5,0.55,166,2.373,358,5.39,489,6.66,604,9.2,9.19,769,10.15,841,11.97,8.04,916,13.4,9.09,960,14.6,10.16,1021,10.73,1089,5.67,1148,12.31,Remeasured 07Dia 5-15-08 BAB,,,
1,2,A,216,L,11,4667,54,0.6,244,2.812,290,4.61,382,5.22,430,5.7,5.4,528,5.57,549,6.11,4.75,566,6.3,4.87,656,6.2,4.91,703,4.98,693,4.99,650,4.98,08: leaning,,,
1,2,B,B,L,10,4666,39,0.48,116,1.595,207,3.37,327,4.91,452,6.8,5.4,547,6.18,657,7.23,5.1,715,8.1,5.68,786,8.2,6.25,861,6.61,906,7.01,1003,7.3,,,,
1,2,A,216,L,9,4665,11,0.25,93,1.107,143,1.96,156,1.91,155,2.1,2.3,,,,,,,,,,,,,,,,,,02: Dead,,,
1,2,B,B,L,8,4664,20,0.41,125,1.74,252,4.25,365,4.94,470,8.2,6.1,560,6.81,663,7.77,5,753,8.6,5.78,852,9.3,6.53,904,7.02,954,8.20,1050,8.88,,,,
1,2,A,216,L,7,4663,49,0.6,142,1.829,256,3.02,297,3.05,347,4,3.2,400,3.41,351,3.88,2.39,360,5.2,2.42,353,3.6,2.42,372,2.42,,2.61,,,03: Measured twice  07:Dead,,,
1,2,B,B,L,6,4662,41,0.65,152,3.708,287,7.39,430,9.09,565,11.8,11.3,697,11.81,739,13.44,6.34,801,13.9,9.1,839,15.2,7.83,891,8.5,972,9.17,1088,9.61,06:2 stems; 08: Hgt v,,,
1,2,A,271,M,6,4676,54,0.5,192,2.077,348,3.73,390,4.73,494,5.5,5.1,632,5.35,715,5.73,4.75,780,6.2,5.13,772,6.5,5.43,868,5.88,986,6.51,1032,7.18,"Misplant 216, actually 259; ",,,
1,2,B,B,M,7,4677,32,0.55,172,2.307,353,5.44,512,6.67,600,9,8.3,752,8.88,775,10.16,7.17,844,11,7.66,853,11.3,7.95,882,8.02,893,8.07,,,07:pd ,,,
1,2,A,216,M,8,4678,44,0.55,178,2.438,218,3.17,229,3.37,259,3.5,3.5,251,3.50,245,4.18,,240,5.2,,,,,,,,,,,04: Dead?; 05: Dead  ,"2003_Height: VQ: Measured 2x. 245 is avg of 2 measurements, 235 and 255. 11-21-5",2003_Diam@10cm: VQ: changed from 3.44 to 4.18 - remeasure. 5-6-4,
1,2,B,B,M,9,4679,33.5,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,98: Dead,,,
1,2,A,216,M,10,4680,14.5,0.26,89,0.825,209,1.86,246,2.08,277,2.2,2.3,298,2.20,295,2.92,1.54,,,,,,,,,,,,,03: Measured twice; 04: Dead  ,2003_Height: VQ: Changed from 291 to 295 - remeasure. 5-5-4,,
1,2,B,B,M,11,4681,30,0.64,144,2.896,302,5.55,406,5.76,514,7.2,7,688,7.58,730,8.34,5.12,825,8.9,6.3,815,9.4,6.22,895,6.49,959,6.80,984,7.28,,,,
1,2,A,216,M,12,4682,57,0.67,258,2.475,297,4.52,362,5.36,443,5.8,5.2,440,5.28,481,5.32,3.91,499,5.3,3.83,,,,,,,,,,98: Dead? 99: Tree growing; 04: Dead?; 05: Dead  ,,,
1,2,B,B,M,13,4683,38,0.39,154,0.48,341,4.97,432,5.70,553,7.5,6.9,667,7.61,731,8.15,5.71,846,8.5,6.2,817,8.8,6.69,869,7.11,969,7.60,1013,7.99,01: Dead; 02: Tree growing,,,
1,2,A,216,M,14,4684,32,0.45,225,2.638,300,4.69,359,5.17,417,5.9,5.3,474,5.51,508,5.73,4.15,532,5.7,4.16,599,5.7,4.16,586,4.2,589,4.28,583,4.3,,,,
1,2,B,B,N,14,4698,42,0.57,168,2.189,334,3.87,388,4.75,520,6.2,5.7,590,6.37,649,6.94,5.02,726,7.3,5.41,731,7.6,5.67,767,5.88,762,5.90,,5.91,,,,
1,2,A,216,N,13,4697,27,0.34,215,1.83,319,3.33,379,3.90,427,4.5,4.1,496,4.20,476,4.30,3.28,475,4.34,3.27,,,,,,,,,,03: Measured 2x; 04: Dia measured 2x 06:dead  ,,,
1,2,B,B,N,12,4696,42,0.58,180,2.617,364,4.53,473,5.44,595,7,6.4,661,7.19,764,7.67,5.21,849,7.9,5.54,836,8.4,5.92,880,6.03,949,6.21,1030,6.5,,,,
1,2,A,216,N,11,4695,24.5,0.49,157,2.374,226,3.65,272,3.72,297,3.9,3.8,332,3.76,,,,,,,,,,,,,,,,03: Dead,,,
1,2,B,B,N,10,4694,38,0.61,211,2.835,382,5.44,497,6.65,643,8.3,7.6,726,8.24,772,8.88,6,855,9.2,6.39,836,9,6.64,851,6.71,855,6.77,848,6.78,00: Dead: 01: Tree growing,,,
1,2,A,216,N,9,4693,11.5,0.21,69,0.78,75,1.08,,,,,,,,,,,,,,,,,,,,,,,00: Dead,,,
1,2,B,B,N,8,4692,34,0.75,168,3.381,368,6.87,494,8.42,598,10.2,9.8,606,10.57,662,11.14,5.51,801,11.3,7.03,771,10.3,6.06,833,6.22,904,6.41,935,6.61,06:2 stems,,,
1,2,A,216,N,7,4691,69,0.7,155,2.417,270,3.57,310,3.71,368,4,3.8,398,3.85,,,,,,,,,,,,,,,,03: Dead?; 04: Dead  ,,,
1,2,B,B,N,6,4690,40,0.79,159,2.678,329,5.28,424,6.60,523,8.2,7.3,532,7.86,646,8.47,5.94,727,9,6.12,755,11.6,6.39,797,6.92,807,6.95,844,7,,,,
1,2,A,216,O,6,4704,12,0.25,155,1.267,210,2.26,243,2.40,262,2.49,2.55,254,2.51,,,,,,,,,,,,,,,,03: Dead,,,
1,2,B,B,O,7,4705,31,0.68,146,2.709,344,4.66,450,6.38,610,8.19,7.8,718,8.91,850,9.80,6.89,872,10.2,7.35,928,7.1,7.63,951,7.77,914,7.81,827,7.8,08: Broken top,,,
1,2,A,216,O,8,4706,62,0.71,238,2.694,286,4.47,331,4.72,458,5.05,4.89,531,5.09,,,,,,,,,,,,,,,,03: Dead?; 04: Dead  ,,,
1,2,B,B,O,9,4707,39,0.52,177,2.371,351,4.82,446,5.38,543,7.4,5.95,600,6.49,654,6.75,4.73,712,6.8,4.89,817,7.9,5.07,791,5.31,817,5.40,,,,,,
1,2,A,216,O,10,4708,12.5,0.32,143,1.041,216,1.9,242,2.12,270,2.27,2.15,262,2.10,,,,,,,,,,,,,,,,03: Dead,,,
1,2,B,B,O,11,4709,47.5,0.69,165,2.653,347,4.67,453,5.42,550,7.29,6.35,637,7.07,741,7.61,5.72,778,7.8,5.38,794,7.9,5.51,836,5.67,838,5.71,783,5.7,08: dead trim?,,,
1,2,A,216,O,12,4710,35,0.47,204,1.808,294,3.09,379,3.52,456,3.96,3.68,459,3.76,,,,,,,,,,,,,,,,03: Dead,,,
1,2,B,B,O,13,4711,66,0.66,198,2.963,348,5.61,452,6.04,568,8.41,7.15,646,7.83,675,7.96,5.77,820,8.5,6.08,841,8.9,6.38,748,6.68,983,6.77,1018,6.99,Remeasured 07Hgt 5-15-08 BAB,,,
1,2,A,216,O,14,4712,75,0.72,243,3.02,367,5.11,407,5.86,507,6.8,6.19,624,6.84,693,7.38,5.7,727,7.7,5.97,762,7.9,6.17,805,6.47,868,6.78,866,7.05,,,,
1,2,B,B,P,14,4725,4,0.32,64,0.769,181,2.03,229,2.25,308,2.65,2.56,352,2.83,365,3.42,1.56,401,3.9,1.65,407,2.9,1.72,405,1.9,409,1.80,421,1.9,02: Damage by scaffold; 08: Hgt remeasured,,,
1,2,A,216,P,13,4724,28,0.47,211,2.649,306,4.74,342,5.09,403,5.44,5.13,467,5.38,518,5.41,3.62,512,5.5,3.63,537,5.5,3.65,520,3.7,513,3.70,490,3.71,08: dead top,,,
1,2,B,B,P,12,4723,73,0.83,165,3.265,315,6.11,383,6.75,487,8.19,8.06,598,8.79,654,9.07,4.21,693,9.3,6.33,727,9.8,5.14,786,5.59,857,6.00,914,6.36,06:3 stems,,,
