"","Rep","Treat","Clone","E.Clone","Row","Col","ID","sap_init_height","sap_init_diam","sap_final_height","sap_final_diam","tree_final_height","tree_final_DBH","height_growth","diam_growth"
"1762","3","3","271","","21","M","3702",41,0.36,70,0.85,1066,6.5,1065.15,5.65
"1764","3","3","271","","23","M","3704",45,0.43,93,0.84,1026,7.96,1025.16,7.12
"1765","3","3","271","","23","N","3718",33,0.44,82,0.77,724,4.59,723.23,3.82
"1767","3","3","271","","21","N","3716",46,0.55,105,1.03,1124,8.2,1122.97,7.17
"1768","3","3","8L","","20","N","3715",28,0.32,33,0.5,533,3.1,532.5,2.6
"1769","3","3","216","","19","N","3714",39,0.49,33,0.86,410,3.05,409.14,2.19
"1770","3","3","8L","","18","N","3713",33,0.58,42,0.55,1180,10.19,1179.45,9.64
"1771","3","3","8L","","17","N","3712",38,0.51,36,0.8,889,6.8,888.2,6
"1772","3","3","271","","16","N","3711",29,0.32,64,0.72,904,5.15,903.28,4.43
"1773","3","3","8L","","15","N","3710",48,0.46,59,0.7,614,5.3,613.3,4.6
"1774","3","3","42E","","15","O","3724",29,0.35,74,0.77,1011,6.92,1010.23,6.15
"1775","3","3","271","","16","O","3725",30,0.31,81,0.74,978,6.12,977.26,5.38
"1776","3","3","216","","17","O","3726",21,0.37,37,0.55,695,5.1,694.45,4.55
"1777","3","3","8L","","18","O","3727",37,0.49,60,0.68,866,6.02,865.32,5.34
"1778","3","3","42E","","19","O","3728",32,0.36,65,0.64,1052,7.25,1051.36,6.61
"1779","3","3","42E","","20","O","3729",34,0.34,78,0.7,1219,10.41,1218.3,9.71
"1781","3","3","271","","22","O","3731",37,0.4,95,0.77,905,6.5,904.23,5.73
"1783","3","3","8L","","23","P","3746",27,0.32,68,0.64,1127,10,1126.36,9.36
